iter	RMSE
0	4.006033779
1	3.974380357
2	3.946367495
3	3.933740765
4	3.922428248
5	3.898321203
6	3.863793271
7	3.83626570688	3.81632825299	3.805106817110	3.785805108111	3.750568056112	3.715340611113	3.699138677114	3.687701261515	3.668171801616	3.650642331717	3.625186821818	3.603667831919	3.587272920	20	3.572127221	21	3.560154222	22	3.535244423	23	3.50955942424	3.500790922525	3.496261812626	3.472349202727	3.457709482828	3.449614442929	3.432271023030	3.408631333131	3.385398043232	3.376924653333	3.359466273434	3.340921993535	3.309475033636	3.28748137	37	3.260778238	38	3.239160839	39	3.229015140	40	3.20366841	341	3.18514942	342	3.16608343	343	3.14119644	344	3.11768245	45	3.091827646	46	3.079633547	47	3.0627527448	3.043813045449	3.033203784550	3.017412683551	3.001793247552	2.99106286
53	2.972558577
54	2.964268328
55	2.952034521556	2.934604124557	2.930739894558	2.921531397559	2.907495197660	2.894030764661	2.879066757662	2.874804001663	2.858212622664	2.847955166565	2.831290096666	2.809174166767	2.783728006868	2.767710196969	2.751444317070	2.728278567171	2.720945867272	2.706663507373	2.694641374	74	2.683005075	75	2.668492776	76	2.665064677	77	2.654057478	78	2.637715579	79	2.634317580	80	2.621299181	81	2.61064582	382	2.59720783	383	2.58199084	384	2.56696885	385	2.56006886	386	2.54614287	387	2.54326688	388	2.52983489	389	2.52426390	390	2.51659491	391	2.49931692	392	2.48812593	93	2.483550694	94	2.479030095	95	2.476089396	96	2.473513697	97	2.470732798	98	2.462026399	99	2.4595491100100	2.4524979101101	2.4404077102102	2.4183274103103	2.4117960104104	2.4094265105105	2.407230310106	2.4045040310107	2.3997451610108	2.3926813010109	2.3890893711110	2.3807752511111	2.369958981112	2.3679725311113	2.3559070111114	2.3539573511115	2.3500153711116	2.3403375111117	2.3385383711118	2.3367529911119	2.3216055912120	2.312021911121	2.2915840421122	2.28247741
123	2.262603697
124	2.254317581
125	2.237952337
126	2.228688349
127	2.213667374
128	2.204026633
129	2.190535283
130	2.178385028
131	2.176906716
132	2.175534799
133	2.16722828
134	2.165794321
135	2.153687903
136	2.141705134
137	2.132013587
138	2.128993031
139	2.127699457
140	2.124516949
141	2.122968468
142	2.121373054
143	2.114442409
144	2.112472841
145	2.102786238
146	2.095104739
147	2.087788622
148	2.077221373
149	2.076111336
150	2.064042155
151	2.060267731
152	2.046788166
153	2.040519594
154	2.025208323
155	2.015641412
156	2.014281287
157	2.005215916
158	1.998657875
159	1.980231464
160	1.978744658
161	1.977509716
162	1.964005941
163	1.958531766
164	1.957349307
165	1.953315991
166	1.9438718311167	1.9377480311168	1.9306447521169	1.9297268471170	1.9289134961171	1.9223962071172	1.9130690021173	1.90626127
174	1.896975646
175	1.89628865
176	1.890490956
177	1.889385247
178	1.882533952
179	1.879597229
180	1.878705713
181	1.877784001
182	1.858365075
183	1.850221429
184	1.844028713
185	1.835542511
186	1.8276698151187	1.8196265471188	1.8142300471189	1.80799413
190	1.80156372
191	1.795223834
192	1.787380896
193	1.786742628
194	1.7862797
195	1.785457886
196	1.780474201
197	1.779798819
198	1.779014908
199	1.778362723
200	1.777724993
201	1.777105719
202	1.769995007
203	1.769583091
204	1.769167423
