iter	RMSE
0	3.872435268
1	3.870891347
2	3.869414841
3	3.867950367
4	3.86655606
5	3.865208788
6	3.863710981
7	3.862389091
8	3.861140568
9	3.859683251
10	3.858233627
11	3.856874187
12	3.855477084
13	3.854135795
14	3.852822858
15	3.85143693
16	3.850177552
17	3.848811903
18	3.847461214
19	3.846060665
20	3.844741553
21	3.843516471
22	3.842215312
23	3.840814179
24	3.839617284
25	3.838303222
26	3.837010202
27	3.835812404
28	3.834556996
29	3.833431821
30	3.832273329
31	3.831082718
32	3.82975752
33	3.828617559
34	3.82743821
35	3.826246629
36	3.825156608
37	3.824134423
38	3.82295095
39	3.821760657
40	3.820713965
41	3.819552703
42	3.818459141
43	3.817429961
44	3.81639976
45	3.815339472
46	3.814164528
47	3.813056269
48	3.812073359
49	3.811079486
50	3.810022221
51	3.809131258
52	3.808022516
53	3.807011709
54	3.805964491
55	3.804975568
56	3.803922654
57	3.802923262
58	3.80189611
59	3.800843097
60	3.799926576
61	3.798923586
62	3.798005847
63	3.797085867
64	3.796231828
65	3.795222086
66	3.794346353
67	3.793372329
68	3.792418023
69	3.791581451
70	3.790674724
71	3.789854985
72	3.788944804
73	3.788101268
74	3.787140943
75	3.786297172
76	3.785427787
77	3.784523867
78	3.783703137
79	3.782822824
80	3.781947302
81	3.78106275
82	3.780252617
83	3.77943059
84	3.778591549
85	3.777797354
86	3.776897771
87	3.776016482
88	3.775164354
89	3.774375008
90	3.773504202
91	3.772722711
92	3.771944599
93	3.771197403
94	3.770407537
95	3.76963176
96	3.768848258
97	3.768233159
98	3.767537242
99	3.766799107
100	3.766094761
101	3.765307114
102	3.764567361
103	3.763900413
104	3.763240411
105	3.762438024
106	3.761686007
107	3.760926876
108	3.760214438
109	3.759531887
110	3.758921446
111	3.758110517
112	3.757477561
113	3.75677043
114	3.756098699
115	3.755396931
116	3.754758842
117	3.754124088
118	3.753440917
119	3.752741896
120	3.752132503
121	3.751543752
122	3.750965385
123	3.750288885
124	3.749644198
125	3.749018172
126	3.748457587
127	3.747896952
128	3.747259026
129	3.746626075
130	3.74606394
131	3.745443471
132	3.744823824
133	3.744173405
134	3.743477577
135	3.742815185
136	3.742284832
137	3.741702722
138	3.741146529
139	3.740549863
140	3.739995606
141	3.739307597
142	3.738788697
143	3.738192683
144	3.737564699
145	3.736952054
146	3.73640233
147	3.735767639
148	3.735099249
149	3.734573544
150	3.734073643
151	3.733527493
152	3.732905335
153	3.732313466
154	3.73182942
155	3.731244176
156	3.730685936
157	3.730161712
158	3.729590326
159	3.729118919
160	3.728596709
161	3.728070768
162	3.727455107
163	3.726946934
164	3.726507274
165	3.725973984
166	3.725426922
167	3.724880889
168	3.724359065
169	3.723906921
170	3.723435647
171	3.722917993
172	3.722440431
173	3.721973347
174	3.721519749
175	3.72096283
176	3.720456201
177	3.720024371
178	3.719502775
179	3.718973362
180	3.718575632
181	3.718083287
182	3.71760571
183	3.717122531
184	3.716619954
185	3.716152515
186	3.715709486
187	3.715194847
188	3.714763239
189	3.714246059
190	3.713730227
191	3.71332042
192	3.712821621
193	3.712361086
194	3.711912257
195	3.711513876
196	3.711182313
197	3.71076011
198	3.710296932
199	3.709868433
200	3.709415155
201	3.709006853
202	3.708658943
203	3.708281121
204	3.707885501
205	3.707376911
206	3.706832386
207	3.70643757
208	3.706036259
209	3.705631362
210	3.70519317
211	3.704739645
212	3.704301848
213	3.703934955
214	3.703494933
215	3.703092437
216	3.702648708
217	3.702197063
218	3.701765319
219	3.701344889
220	3.700956869
221	3.700580198
222	3.700167836
223	3.699799011
224	3.699441375
225	3.699023586
226	3.69864931
227	3.698237391
228	3.697825423
229	3.697459211
230	3.697139166
231	3.696739995
232	3.69633232
233	3.69593705
234	3.695509571
235	3.695113925
236	3.694699133
237	3.694395319
238	3.694092556
239	3.693719099
240	3.693387377
241	3.693066387
242	3.692688202
243	3.69230073
244	3.692007863
245	3.691696292
246	3.69140412
247	3.691049896
248	3.690761651
249	3.690547108
250	3.690203203
251	3.689798519
252	3.689403065
253	3.689034957
254	3.688612397
255	3.688309776
256	3.688053053
257	3.687664782
258	3.687384249
259	3.687062657
260	3.686713682
261	3.686344546
262	3.686020372
263	3.685713491
264	3.685410698
265	3.68510476
266	3.684751669
267	3.68443469
268	3.684152536
269	3.683875268
270	3.683585159
271	3.683220662
272	3.682960347
273	3.682647126
274	3.682324958
275	3.68206106
276	3.681751922
277	3.68144741
278	3.681098002
279	3.680920239
280	3.680645564
281	3.680276175
282	3.680033853
283	3.67973817
284	3.679436676
285	3.679093219
286	3.6787704
287	3.678531628
288	3.678243734
289	3.678049908
290	3.677749527
291	3.677477616
292	3.677302477
293	3.677037485
294	3.676828157
295	3.676580876
296	3.676328669
297	3.676053189
298	3.675831108
299	3.675642286
300	3.6753361
301	3.675104356
302	3.674842476
303	3.674507707
304	3.674179902
305	3.673913679
306	3.673612865
307	3.673298613
308	3.673062053
309	3.672747585
310	3.672407283
311	3.672148049
312	3.67188759
313	3.67164079
314	3.671431039
315	3.671087706
316	3.670920013
317	3.670637743
318	3.67032142
319	3.670036339
320	3.669755821
321	3.669447581
322	3.669213372
323	3.668952835
324	3.668707959
325	3.668456074
326	3.668255515
327	3.667907003
328	3.667747163
329	3.66753794
330	3.667334449
331	3.667063039
332	3.666882394
333	3.666569107
334	3.666288961
335	3.666040188
336	3.665805776
337	3.665557469
338	3.665286448
339	3.665013132
340	3.664683271
341	3.664508884
342	3.664316032
343	3.664014232
344	3.663766999
345	3.663570597
346	3.663317077
347	3.663130705
348	3.662825508
349	3.662622776
350	3.662341745
351	3.662127629
352	3.66191162
353	3.661722657
354	3.661527974
355	3.661305616
356	3.661153051
357	3.660903768
358	3.660708486
359	3.660433425
360	3.660129456
361	3.659956206
362	3.659723165
363	3.659526055
364	3.659329305
365	3.659134889
366	3.658998333
367	3.658745617
368	3.658615675
369	3.658442203
370	3.658232196
371	3.658092611
372	3.657908635
373	3.657782366
374	3.657603903
375	3.6573532
376	3.657198524
377	3.656991656
378	3.656801271
379	3.656565219
380	3.656418471
381	3.656222398
382	3.655971064
383	3.655838532
384	3.655625128
385	3.655503913
386	3.655312812
387	3.65505636
388	3.65486283
389	3.654608056
390	3.654419404
391	3.654222699
392	3.654081254
393	3.653881574
394	3.653711929
395	3.653556661
396	3.653356512
397	3.653205687
398	3.652952017
399	3.652800066
400	3.652541434
401	3.652295375
402	3.652058165
403	3.651918968
404	3.651679714
405	3.65141026
406	3.651221955
407	3.651071262
408	3.650859839
409	3.650665969
410	3.650505531
411	3.650297568
412	3.650055623
413	3.649820579
414	3.649671428
415	3.649519479
416	3.649387337
417	3.649240579
418	3.649126699
419	3.649013025
420	3.648805634
421	3.648641766
422	3.648517228
423	3.648387769
424	3.648203535
425	3.647972475
426	3.647754112
427	3.647604595
428	3.647483345
429	3.647256145
430	3.647121344
431	3.647021463
432	3.646730852
433	3.646556293
434	3.646414774
435	3.646266943
436	3.646029633
437	3.645895896
438	3.645616174
439	3.645430368
440	3.64521849
441	3.645061506
442	3.644802986
443	3.64469369
444	3.644534389
445	3.644423401
446	3.644325656
447	3.644153343
448	3.643931238
449	3.643820172
450	3.643685358
451	3.643471464
452	3.643287793
453	3.6430913
454	3.642831734
455	3.642670948
456	3.642514514
457	3.642383682
458	3.642180297
459	3.642055501
460	3.641846618
461	3.641823396
462	3.641675211
463	3.641501125
464	3.641329128
465	3.641190835
466	3.641017028
467	3.640876117
468	3.640755908
469	3.64060383
470	3.640465463
471	3.640296771
472	3.640174834
473	3.640079165
474	3.639961718
475	3.639777233
476	3.639667185
477	3.639501156
478	3.639403904
479	3.63927247
480	3.639059481
481	3.638864793
482	3.638641597
483	3.638452011
484	3.638353652
485	3.638259826
486	3.638074078
487	3.637885635
488	3.637729992
489	3.637612727
490	3.637488764
491	3.637370993
492	3.637216762
493	3.637111986
494	3.637037576
495	3.636872502
496	3.636751936
497	3.636622006
498	3.636464035
499	3.636368531
500	3.636276341
501	3.636139314
502	3.636015875
503	3.635805729
504	3.635700598
505	3.635527385
506	3.635374147
507	3.635245401
508	3.635082136
509	3.634956431
510	3.634818839
511	3.634609762
512	3.634470995
513	3.634368122
514	3.63422313
515	3.634076062
516	3.633980991
517	3.633878229
518	3.633708808
519	3.633599549
520	3.633345689
521	3.633119328
522	3.633005283
523	3.632913985
524	3.632832272
525	3.632674951
526	3.632570642
527	3.632401
528	3.632275084
529	3.632179896
530	3.632085091
531	3.632017942
532	3.631910894
533	3.631721381
534	3.631619941
535	3.631514525
536	3.631431872
537	3.631210392
538	3.631140668
539	3.631000593
540	3.630891911
541	3.630750684
542	3.630569915
543	3.630430545
544	3.63032632
545	3.630196725
546	3.630091073
