iter	Passed	Remaining
0	179	358662
1	308	308241
2	423	282012
3	546	272802
4	670	267686
5	776	258057
6	894	254695
7	1007	250940
8	1110	245673
9	1218	242488
10	1324	239410
11	1460	241909
12	1589	242930
13	1693	240166
14	1802	238567
15	1909	236772
16	2006	234012
17	2108	232220
18	2205	229988
19	2310	228707
20	2413	227408
21	2516	226273
22	2628	225912
23	2743	225871
24	2859	225887
25	2964	225073
26	3075	224735
27	3173	223483
28	3276	222657
29	3381	222051
30	3483	221258
31	3583	220360
32	3691	220047
33	3820	220896
34	3928	220534
35	4024	219578
36	4129	219101
37	4238	218861
38	4339	218218
39	4439	217553
40	4539	216915
41	4639	216306
42	4745	215982
43	4854	215790
44	4962	215582
45	5063	215068
46	5167	214737
47	5270	214320
48	5372	213909
49	5472	213410
50	5577	213129
51	5677	212704
52	5790	212714
53	5889	212255
54	5995	212027
55	6096	211640
56	6204	211502
57	6307	211201
58	6412	210968
59	6521	210870
60	6622	210497
61	6733	210469
62	6845	210459
63	6944	210074
64	7053	209966
65	7156	209718
66	7263	209544
67	7373	209502
68	7476	209220
69	7572	208777
70	7685	208816
71	7804	209000
72	7904	208654
73	8011	208506
74	8119	208410
75	8225	208224
76	8327	207971
77	8455	208352
78	8577	208585
79	8683	208415
80	8803	208564
81	8904	208274
82	9007	208046
83	9107	207728
84	9211	207530
85	9316	207342
86	9419	207116
87	9520	206862
88	9622	206610
89	9731	206519
90	9840	206427
91	9944	206236
92	10051	206101
93	10153	205876
94	10251	205567
95	10360	205485
96	10462	205268
97	10562	204992
98	10662	204746
99	10782	204859
100	10882	204608
101	10985	204409
102	11087	204194
103	11179	203818
104	11273	203451
105	11392	203565
106	11506	203575
107	11619	203557
108	11718	203296
109	11828	203237
110	11935	203122
111	12041	202977
112	12152	202942
113	12273	203053
114	12385	203016
115	12484	202767
116	12593	202672
117	12712	202759
118	12822	202679
119	12932	202607
120	13025	202270
121	13128	202097
122	13216	201691
123	13314	201440
124	13409	201143
125	13510	200940
126	13613	200778
127	13709	200504
128	13817	200401
129	13919	200224
130	14022	200068
131	14123	199875
132	14222	199654
133	14329	199542
134	14429	199346
135	14529	199141
136	14634	199008
137	14740	198891
138	14848	198795
139	14950	198631
140	15045	198365
141	15150	198232
142	15246	197991
143	15371	198126
144	15479	198028
145	15591	197991
146	15707	197998
147	15828	198069
148	15940	198021
149	16048	197929
150	16153	197806
151	16255	197635
152	16356	197449
153	16456	197268
154	16558	197093
155	16656	196891
156	16773	196897
157	16877	196760
158	16972	196517
159	17075	196364
160	17178	196216
161	17279	196052
162	17387	195954
163	17491	195816
164	17601	195752
165	17704	195599
166	17822	195622
167	17925	195477
168	18029	195332
169	18123	195094
170	18228	194971
171	18320	194703
172	18427	194606
173	18525	194413
174	18625	194233
175	18730	194120
176	18848	194125
177	18944	193910
178	19049	193798
179	19154	193669
180	19250	193458
181	19343	193219
182	19450	193124
183	19549	192940
184	19645	192740
185	19741	192534
186	19850	192449
187	19949	192277
188	20047	192092
189	20149	191947
190	20252	191813
191	20358	191710
192	20460	191568
193	20559	191391
194	20666	191295
195	20772	191189
196	20879	191091
197	20978	190928
198	21085	190830
199	21187	190687
200	21292	190573
201	21401	190498
202	21512	190428
203	21613	190280
204	21711	190111
205	21830	190116
206	21931	189970
207	22035	189843
208	22130	189644
209	22226	189455
210	22326	189302
211	22430	189174
212	22529	189012
213	22629	188862
214	22732	188736
215	22846	188691
216	22945	188530
217	23047	188399
218	23150	188265
219	23250	188118
220	23342	187904
221	23455	187857
222	23560	187743
223	23662	187610
224	23768	187510
225	23888	187515
226	24002	187472
227	24120	187463
228	24231	187400
229	24335	187275
230	24435	187130
231	24533	186958
232	24635	186830
233	24733	186664
234	24846	186612
235	24952	186506
236	25052	186357
237	25162	186287
238	25263	186148
239	25363	185998
240	25466	185875
241	25570	185757
242	25671	185613
243	25779	185527
244	25883	185407
245	25984	185273
246	26077	185074
247	26181	184959
248	26288	184860
249	26381	184671
250	26491	184596
251	26589	184438
252	26688	184286
253	26793	184177
254	26905	184117
255	27004	183965
256	27103	183816
257	27208	183708
258	27304	183543
259	27409	183432
260	27510	183301
261	27611	183161
262	27710	183013
263	27802	182821
264	27910	182737
265	28009	182590
266	28113	182472
267	28218	182364
268	28312	182192
269	28420	182101
270	28517	181943
271	28623	181846
272	28720	181683
273	28816	181525
274	28921	181414
275	29021	181277
276	29114	181098
277	29211	180940
278	29312	180814
279	29407	180646
280	29519	180580
281	29623	180472
282	29722	180333
283	29829	180239
284	29954	180251
285	30056	180131
286	30156	179995
287	30252	179836
288	30351	179695
289	30460	179610
290	30555	179448
291	30652	179294
292	30749	179146
293	30854	179039
294	30953	178900
295	31070	178867
296	31176	178763
297	31282	178668
298	31396	178613
299	31498	178490
300	31603	178384
301	31698	178225
302	31789	178040
303	31905	177997
304	32007	177876
305	32100	177707
306	32209	177626
307	32312	177510
308	32415	177392
309	32524	177313
310	32627	177197
311	32735	177107
312	32853	177074
313	32990	177141
314	33090	177006
315	33188	176863
316	33280	176693
317	33378	176550
318	33490	176481
319	33590	176352
320	33682	176178
321	33783	176051
322	33886	175935
323	33988	175819
324	34081	175651
325	34183	175529
326	34285	175411
327	34384	175276
328	34480	175129
329	34580	174998
330	34679	174865
331	34779	174734
332	34873	174574
333	34981	174487
334	35074	174324
335	35167	174164
336	35316	174274
337	35416	174148
338	35530	174087
339	35624	173929
340	35728	173824
341	35817	173640
342	35909	173477
343	36028	173440
344	36129	173317
345	36235	173217
346	36335	173092
347	36425	172915
348	36536	172843
349	36640	172732
350	36738	172599
351	36837	172467
352	36945	172379
353	37043	172241
354	37136	172084
355	37231	171936
356	37319	171751
357	37425	171653
358	37518	171499
359	37621	171388
360	37744	171366
361	37840	171224
362	37948	171136
363	38062	171073
364	38165	170961
365	38275	170880
366	38380	170777
367	38496	170724
368	38598	170605
369	38694	170465
370	38786	170304
371	38888	170190
372	38988	170065
373	39071	169864
374	39166	169720
375	39257	169560
376	39345	169382
377	39437	169227
378	39541	169120
379	39635	168971
380	39736	168853
381	39829	168703
382	39929	168580
383	40030	168461
384	40130	168341
385	40220	168176
386	40317	168043
387	40414	167909
388	40512	167777
389	40618	167682
390	40712	167535
391	40798	167356
392	40905	167263
393	41010	167166
394	41102	167009
395	41202	166890
396	41293	166732
397	41382	166568
398	41491	166485
399	41589	166359
400	41688	166232
401	41786	166105
402	41890	166003
403	41980	165845
404	42091	165768
405	42198	165677
406	42300	165566
407	42404	165462
408	42497	165314
409	42606	165229
410	42698	165079
411	42798	164960
412	42898	164841
413	42994	164709
414	43082	164544
415	43176	164404
416	43267	164249
417	43361	164110
418	43456	163971
419	43550	163831
420	43656	163737
421	43751	163603
422	43838	163434
423	43943	163337
424	44033	163183
425	44137	163082
426	44234	162953
427	44326	162805
428	44419	162663
429	44526	162573
430	44624	162449
431	44721	162323
432	44828	162230
433	44923	162095
434	45015	161950
435	45125	161872
436	45222	161744
437	45312	161592
